id_code_insee;code_postal;Commune;nom_departement;nom_region;code_commune;code_departement;code_region
59416;59190;MORBECQUE;NORD;NORD-PAS-DE-CALAIS;416;59;31
22102;22330;LANGOURLA;COTES-DARMOR;BRETAGNE;102;22;53
31225;31310;GOUTEVERNISSE;HAUTE-GARONNE;MIDI-PYRENEES;225;31;73
23025;23220;BONNAT;CREUSE;LIMOUSIN;25;23;74
38522;38740;VALJOUFFREY;ISERE;RHONE-ALPES;522;38;82
21249;21170;ESBARRES;COTE-DOR;BOURGOGNE;249;21;26
62893;62930;WIMEREUX;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;893;62;31
60331;60590;LABOSSE;OISE;PICARDIE;331;60;22
62625;62770;NOYELLES-LES-HUMIERES;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;625;62;31
34277;34520;SAINT-MAURICE-NAVACELLES;HERAULT;LANGUEDOC-ROUSSILLON;277;34;91
45149;45320;FOUCHEROLLES;LOIRET;CENTRE;149;45;24
26176;26740;MARSANNE;DROME;RHONE-ALPES;176;26;82
51130;51330;CHARMONT;MARNE;CHAMPAGNE-ARDENNE;130;51;21
76592;76170;SAINT-JEAN-DE-FOLLEVILLE;SEINE-MARITIME;HAUTE-NORMANDIE;592;76;23
14556;14320;SAINT-ANDRE-SUR-ORNE;CALVADOS;BASSE-NORMANDIE;556;14;25
61411;61360;SAINT-JOUIN-DE-BLAVOU;ORNE;BASSE-NORMANDIE;411;61;25
7060;7240;CHATEAUNEUF-DE-VERNOUX;ARDECHE;RHONE-ALPES;60;7;82
10196;10130;LIGNIERES;AUBE;CHAMPAGNE-ARDENNE;196;10;21
68062;68130;CARSPACH;HAUT-RHIN;ALSACE;62;68;42
48076;48130;JAVOLS;LOZERE;LANGUEDOC-ROUSSILLON;76;48;91
50345;50200;MONTHUCHON;MANCHE;BASSE-NORMANDIE;345;50;25
3028;3120;BILLEZOIS;ALLIER;AUVERGNE;28;3;83
31317;31430;MARIGNAC-LASCLARES;HAUTE-GARONNE;MIDI-PYRENEES;317;31;73
42170;42120;PERREUX;LOIRE;RHONE-ALPES;170;42;82
34045;34800;CABRIERES;HERAULT;LANGUEDOC-ROUSSILLON;45;34;91
